"Sub" "Activity" "Mean" "St.Dev"
"135" 23 "Standing" -0.575125104082553 1.1745577453915
"136" 23 "Walking" -0.219559324935344 1.08502954402669
"137" 23 "Walking Downstairs" -0.149970156734093 1.09371961623668
"138" 23 "Walking Upstairs" -0.319743114116794 1.09658964426561
"139" 24 "Laying" -0.567000178052491 1.23247204254051
"140" 24 "Sitting" -0.586442442560513 1.19404719445965
"141" 24 "Standing" -0.570537828803569 1.21126081672793
"142" 24 "Walking" -0.368657931336413 1.13354806394563
"143" 24 "Walking Downstairs" -0.303984470750191 1.14508638764375
"144" 24 "Walking Upstairs" -0.38387460805437 1.14035116052953
"145" 25 "Laying" -0.520768187688433 1.26727382727035
"146" 25 "Sitting" -0.583364342747625 1.23377084639229
"147" 25 "Standing" -0.579808777254155 1.24587926898814
"148" 25 "Walking" -0.410518493905942 1.17721747854835
"149" 25 "Walking Downstairs" -0.372673039553154 1.18924858256826
"150" 25 "Walking Upstairs" -0.431511281652401 1.18829845548018
"151" 26 "Laying" -0.569896129819551 1.30587386386074
"152" 26 "Sitting" -0.579016105505319 1.27225454135713
"153" 26 "Standing" -0.576749203928674 1.2845527728233
"154" 26 "Walking" -0.340278212535775 1.20581624294104
"155" 26 "Walking Downstairs" -0.26402025226642 1.21694349065406
"156" 26 "Walking Upstairs" -0.356291544229246 1.21791970417163
"157" 27 "Laying" -0.573408575297571 1.34018349210381
"158" 27 "Sitting" -0.581829832754646 1.30797322727506
"159" 27 "Standing" -0.575325948622765 1.32193937736197
"160" 27 "Walking" -0.324343410717717 1.24531686533547
"161" 27 "Walking Downstairs" -0.252273543996041 1.25755311211343
"162" 27 "Walking Upstairs" -0.369035135074103 1.25959128701102
"163" 28 "Laying" -0.566189710095559 1.37307164137136
"164" 28 "Sitting" -0.570102725840619 1.34090875486538
"165" 28 "Standing" -0.557167831804735 1.3524001475013
"166" 28 "Walking" -0.338501152816262 1.2848647602144
"167" 28 "Walking Downstairs" -0.229815854560348 1.29085522999462
"168" 28 "Walking Upstairs" -0.342221904062051 1.29224932263232
"169" 29 "Laying" -0.570191766047055 1.41659951673181
"170" 29 "Sitting" -0.5750718203614 1.3855582465081
"171" 29 "Standing" -0.577637591214927 1.3972258732427
"172" 29 "Walking" -0.2960533036349 1.31939315413755
"173" 29 "Walking Downstairs" -0.253518485525315 1.33240310354514
"174" 29 "Walking Upstairs" -0.303980652914525 1.3336492788559
"175" 30 "Laying" -0.564738992025631 1.44681270981661
"176" 30 "Sitting" -0.575205749944098 1.42083430420087
"177" 30 "Standing" -0.556359023625857 1.43073719506848
"178" 30 "Walking" -0.314882661409787 1.35940950596722
"179" 30 "Walking Downstairs" -0.293052360031295 1.37263268874525
"180" 30 "Walking Upstairs" -0.376749963892703 1.3776782625551
